"Spp","Plot.ID","Year","Observer","NOTES","obs","ind.ID","phase_ID","phase_DATE"
"ERIVAG","17","2017",NA,NA,"transect","ERIVAG_17_2017","P1",141
"ERIVAG","18","2017",NA,NA,"transect","ERIVAG_18_2017","P1",138
"ERIVAG","19","2017",NA,NA,"transect","ERIVAG_19_2017","P1",138
"ERIVAG","20","2017",NA,NA,"transect","ERIVAG_20_2017","P1",138
"SALARC","1","2017",NA,NA,"transect","SALARC_1_2017","P1",147
"SALARC","1","2017",NA,NA,"transect","SALARC_1_2017","P1",147
"SALARC","2","2017",NA,NA,"transect","SALARC_2_2017","P1",147
"SALARC","2","2017",NA,NA,"transect","SALARC_2_2017","P1",147
"SALARC","3","2017",NA,NA,"transect","SALARC_3_2017","P1",147
"SALARC","3","2017",NA,NA,"transect","SALARC_3_2017","P1",147
"SALARC","4","2017",NA,NA,"transect","SALARC_4_2017","P1",147
"SALARC","4","2017",NA,NA,"transect","SALARC_4_2017","P1",147
"SALARC","5","2017",NA,NA,"transect","SALARC_5_2017","P1",147
"SALARC","5","2017",NA,NA,"transect","SALARC_5_2017","P1",147
"SALARC","6","2017",NA,NA,"transect","SALARC_6_2017","P1",147
"SALARC","6","2017",NA,NA,"transect","SALARC_6_2017","P1",147
"SALARC","7","2017",NA,NA,"transect","SALARC_7_2017","P1",147
"SALARC","7","2017",NA,NA,"transect","SALARC_7_2017","P1",147
"SALARC","8","2017",NA,NA,"transect","SALARC_8_2017","P1",147
"SALARC","8","2017",NA,NA,"transect","SALARC_8_2017","P1",147
"SALARC","9","2017",NA,NA,"transect","SALARC_9_2017","P1",147
"SALARC","9","2017",NA,NA,"transect","SALARC_9_2017","P1",147
"SALARC","10","2017",NA,NA,"transect","SALARC_10_2017","P1",147
"SALARC","10","2017",NA,NA,"transect","SALARC_10_2017","P1",147
"DRYINT","1","2016",NA,NA,"transect","DRYINT_1_2016","P1",135
"DRYINT","2","2016",NA,NA,"transect","DRYINT_2_2016","P1",131
"DRYINT","3","2016",NA,NA,"transect","DRYINT_3_2016","P1",131
